Headword ;Başlık;List 
cutlass;bıçak;15k
cyan;camgöbeği;15k
cyborg;siborg;15k
cyclops;tepegöz;15k
cyclotron;siklotron;15k
cygnet;kuğu yavrusu;15k
cytotoxic;sitotoksik;15k
dachshund;daksund;15k
deadbeat;avanta;15k
decathlon;dekatlon;15k
decouple;ayırma;15k
decriminalise;suç olmaktan çıkarmak;15k
deejay;DJ;15k
degrease;yağdan arındırmak;15k
dematerialize;kaydileştirmek;15k
demeanor;tavır;15k
demesne;demesne;15k
dengue;dang humması;15k
denitrification;denitrifikasyon;15k
depolarize;depolarizasyon;15k
detox;detoks;15k
deuce;ikili;15k
deus;tanrı;15k
diaphanous;şeffaf;15k
dichotomize;ikiye bölmek;15k
dickhead;sik kafalı;15k
diem;günlük;15k
dilatory;geciktirici;15k
dildo;yapay penis;15k
dimer;dimer;15k
dimorphism;dimorfizm;15k
diphthong;ikili ünlü;15k
diploid;diploit;15k
disembowel;bağırsaklarını çıkarmak;15k
disestablish;düzeni bozmak;15k
disjuncture;kopukluk;15k
diverticulum;divertikül;15k
divot;çimen;15k
djinn;cin;15k
dodo;dodo;15k
doily;bardak altlığı peçete;15k
domiciliary;ikametgah;15k
doomsday;kıyamet günü;15k
dork;salak;15k
dory;dory;15k
doss;ısmarlamak;15k
doyen;duayen;15k
dozy;uykulu;15k
dray;yük arabası;15k
dross;cüruf;15k
ductile;sünek;15k
duffer;aptal;15k
duffle;spor ayakkabı;15k
dulcimer;santur;15k
dumpster;çöp konteynırı;15k
dunce;ahmak;15k
duomo;duomo;15k
dyspepsia;hazımsızlık;15k
echinoderm;derisi dikenli;15k
ectopic;ektopik;15k
effete;etkisiz;15k
effrontery;küstahlık;15k
eggplant;patlıcan;15k
eider;pufla kuşu;15k
eigenvalue;özdeğer;15k
ejecta;fırlatma;15k
elastomer;elastomer;15k
electromagnetism;elektromanyetizma;15k
electrophysiological;elektrofizyolojik;15k
emend;düzeltmek;15k
endocrinologist;endokrinolog;15k
endothelium;endotel;15k
enervate;zayıflatmak;15k
engorge;tıkamak;15k
entente;İtilaf;15k
enteral;enteral;15k
enthalpy;entalpi;15k
epicurean;zevk düşkünü;15k
epigenetic;epigenetik;15k
epigraph;epigraf;15k
epistemology;epistemoloji;15k
epistolary;mektupla ilgili;15k
epitope;epitop;15k
equable;dengeli;15k
equidistant;eşit uzaklıkta;15k
equilibrate;dengelemek;15k
erythema;eritem;15k
espalier;Espalier;15k
etudes;etütler;15k
euclidean;Öklidyen;15k
eurobond;eurobond;15k
eviscerate;içini çıkarmak;15k
exactitude;kesinlik;15k
exegete;yorumcu;15k
expat;yabancı;15k
expiate;kefaretini ödemek;15k
expository;açıklayıcı;15k
extemporize;doğaçlama yapmak;15k
extenuate;hafifletmek;15k
extirpate;kökünü kazımak;15k
extrajudicial;yargısız;15k
extraterritorial;bölge dışı;15k
factorise;çarpanlara ayırmak;15k
falciparum;falciparum;15k
fantasia;fantezi;15k
farfetched;zoraki;15k
farrier;nalbant;15k
febrile;ateşli;15k
femoral;uyluk kemiği;15k
filch;hain;15k
filet;fileto;15k
fillip;hızlı;15k
fissile;bölünebilir;15k
flagellate;kamçılı;15k
flapper;sineklik;15k
flatbed;düz yataklı;15k
flavonoid;flavonoid;15k
flexor;fleksör;15k
florin;florin;15k
flume;kanal;15k
flummox;flummox;15k
flunkey;uşak;15k
foie;kaz;15k
fora;forum;15k
foreshore;kıyı;15k
forma;şekil;15k
formers;şekillendiriciler;15k
formulary;formüller;15k
forswear;yemin ederim;15k
forsythia;hor çiçeği;15k
frankincense;buhur;15k
fraternize;kardeşlik yapmak;15k
frau;bayan;15k
freehand;serbest el;15k
frump;kocakarı;15k
funereal;cenaze töreni;15k
furore;öfke;15k
futon;şilte;15k
gannet;sümsük kuşu;15k
gar;gar;15k
garde;gardiyan;15k
gardenia;gardenya;15k
gaslight;gaz lambası;15k
gastroenteritis;gastroenterit;15k
geomagnetic;jeomanyetik;15k
gerrymander;gerrymander;15k
giblet;sakatat;15k
glaciation;buzullaşma;15k
gladiola;Glayöl;15k
glob;küre;15k
glucagon;glukagon;15k
gluon;gluon;15k
glutamine;glutamin;15k
glutinous;yapışkan;15k
glycogen;glikojen;15k
glycoprotein;glikoprotein;15k
goddamit;kahretsin;15k
golem;golem;15k
grandee;büyükbaba;15k
grapheme;yazı;15k
gratin;gratine;15k
gratis;bedava;15k
gravitas;ağırbaşlılık;15k
grebe;batağan;15k
gridiron;ızgara;15k
gristle;kıkırdak;15k
grouch;homurdanmak;15k
grouper;orfoz;15k
grubbed;kazınmış;15k
guano;guano;15k
guilder;gulden;15k
gunrunner;silah kaçakçısı;15k
haiku;haiku;15k
hake;hake;15k
halfback;oyun kurucu;15k
hausa;Hausa;15k
hectors;hektorler;15k
helicobacter;helikobakter;15k
hepatocyte;hepatosit;15k
herbarium;herbaryum;15k
herbivorous;otçul;15k
herewith;bununla birlikte;15k
herm;kız;15k
herringbone;balıksırtı;15k
heterozygous;heterozigot;15k
hieroglyph;hiyeroglif;15k
hobo;serseri;15k
hollyhock;gülhatmi;15k
homeboy;ev çocuğu;15k
homeostasis;homeostazis;15k
homoerotic;homoerotik;15k
homolog;homolog;15k
homonym;sesteş;15k
homozygote;homozigot;15k
homy;dostum;15k
honeydew;tatlı özsu;15k
hopscotch;seksek;15k
hostelry;pansiyon;15k
hothead;asabi;15k
huckleberry;yaban mersini;15k
hullabaloo;gürültü;15k
humerus;kol kemiği;15k
humpty;kambur;15k
hussar;hafif süvari eri;15k
hydrodynamic;hidrodinamik;15k
hydrogenate;hidrojenat;15k
hydrolysis;hidroliz;15k
hydroponic;topraksız;15k
hypermedia;hipermedya;15k
hypochlorite;hipoklorit;15k
hypothalamus;hipotalamus;15k
hysteresis;histerezis;15k
ibuprofen;ibuprofen;15k
iconoclasm;ikonoklazma;15k
ileal;ileal;15k
ilex;ileks;15k
immunofluorescence;immünfloresan;15k
impatiens;sabırsızlar;15k
imponderable;ölçülemez;15k
inboard;içten takmalı;15k
incommunicado;iletişimsiz;15k
indissoluble;çözünmez;15k
indubitable;şüphe götürmez;15k
insole;iç taban;15k
interleave;aralık;15k
internee;enterne edilen;15k
interregnum;fetret dönemi;15k
interstice;aralık;15k
intestate;vasiyetsiz;15k
intracranial;kafa içi;15k
inure;katlanmak;15k
inveigh;ağırlaşmak;15k
inviolate;dokunulmaz;15k
ion;iyon;15k
ipod;ipod;15k
iridium;iridyum;15k
isometric;izometrik;15k
jackass;salak;15k
jackrabbit;tavşan;15k
jalapeno;jalapeno;15k
japonica;japonya;15k
jellybean;jöle fasulye şekerleme;15k
jiffy;hemen;15k
jink;şaka;15k
kaolin;kaolin;15k
kart;kart;15k
kevlar;kevlar;15k
keypunch;kart zımbası;15k
kilter;dengesiz;15k
kippur;kipur;15k
knacker;yıkmacı;15k
koala;koala;15k
kowtow;secde;15k
labium;labium;15k
lacanian;Lacanlı;15k
ladybird;uğur böceği;15k
lam;lam;15k
lamarckian;Lamarck'a özgü;15k
langue;dil;15k
larkspur;hezaren çiçeği;15k
laserjet;lazerjet;15k
lassitude;halsizlik;15k
lateralise;yanallaştırmak;15k
lath;çıta;15k
lazuli;lazuli;15k
lazybones;tembeller;15k
leftie;solcu;15k
legwork;ayak işi;15k
lemma;lemma;15k
libation;libasyon;15k
libertine;çapkın;15k
lido;lido;15k
lieder;yalan;15k
lignite;linyit;15k
lilliputian;küçük;15k
limbic;limbik;15k
limed;kireçli;15k
limpet;deniz salyangozu;15k
lingua;dil;15k
literati;edebiyatçı;15k
litigious;davalı;15k
lobelia;lobelya;15k
lolly;şekerleme;15k
longhand;el yazısı;15k
longshore;kıyı şeridi;15k
loquacious;geveze;15k
lowed;alçaltılmış;15k
luddite;luddit;15k
lumberjack;oduncu;15k
luminal;lüminal;15k
lycra;likralı;15k
lysine;lizin;15k
madcap;çılgın;15k
magisterium;hakimlik;15k
magnanimity;cömertlik;15k
majlis;meclis;15k
mambo;mambo;15k
manatee;deniz ayısı;15k
manikin;manken;15k
marchioness;markiz;15k
margarita;Margarita;15k
masse;kitle;15k
mastiff;mastif;15k
mayflower;Mayıs çiçeği;15k
mayfly;mayıs sineği;15k
maypole;direği;15k
mediastinal;mediastinal;15k
megalith;megalit;15k
megastar;megastar;15k
melange;melanj;15k
melanin;melanin;15k
mer;deniz;15k
meson;meson;15k
metafiction;üstkurmaca;15k
metamorphic;metamorfik;15k
metronidazole;metronidazol;15k
microstructure;mikro yapı;15k
midden;çöplük;15k
millenarian;bin yıllık;15k
mimosa;mimoza;15k
mineralogy;mineraloji;15k
minibar;mini-bar;15k
miniscule;minik;15k
miniskirt;mini etek;15k
minotaur;minotor;15k
minuteman;dakika görevlisi;15k
mio;milyon;15k
misanthrope;insan düşmanı;15k
mishmash;karışıklık;15k
mislay;yanlış yönlendirme;15k
miso;miso;15k
mistral;mistral;15k
mocha;mocha;15k
moghul;Moğol;15k
moiety;kısım;15k
mojo;mojo;15k
monocle;tek gözlük;15k
monoculture;monokültür;15k
monolingual;tek dilli;15k
monomer;monomer;15k
monotype;tek tip;15k
moonie;aylak;15k
moonshine;kaçak içki;15k
mordant;öldürücü;15k
morgen;Morgen;15k
morte;ölüm;15k
mosey;mosey;15k
motet;müziksiz çok sesli ilahi;15k
mouvement;hareket;15k
mujahedin;mücahit;15k
mulatto;melez;15k
multicell;çok hücreli;15k
multicentre;çok merkezli;15k
multimillion;multimilyon;15k
multivitamin;multivitamin;15k
musculoskeletal;kas-iskelet sistemi;15k
muss;yosun;15k
myeloma;miyelom;15k
myrrh;mür;15k
naff;naff;15k
nano;nano;15k
nanosecond;nanosaniye;15k
nanotechnology;nanoteknoloji;15k
nanotube;nanotüp;15k
nark;nark;15k
nary;çok az;15k
nautilus;Nautilus;15k
necropsy;otopsi;15k
neoprene;neopren;15k
neuropeptide;nöropeptid;15k
neurophysiological;nörofizyolojik;15k
nimbus;yağmur bulutu;15k
nob;asil;15k
nomenklatura;isimlendirme;15k
nord;kuzey;15k
nosh;burun;15k
nouvelle;yeni gelen;15k
novo;yeni;15k
nox;hayır;15k
nucleation;çekirdeklenme;15k
numerator;pay;15k
nutter;deli;15k
obdurate;inatçı;15k
obeisance;saygı;15k
odometer;kilometre sayacı;15k
offal;sakatat;15k
oilcloth;muşamba;15k
oleander;zakkum;15k
omnivore;hepçil;15k
oomph;çekici;15k
ophthalmic;oftalmik;15k
oratorio;oratoryo;15k
orca;orka;15k
organelle;organel;15k
origami;origami;15k
osteopath;osteopat;15k
ostinato;ostinato;15k
otolaryngology;kulak burun boğaz;15k
outfall;akıntı;15k
outrigger;destek ayağı;15k
outsole;dış taban;15k
overactive;aşırı aktif;15k
overawe;aşırı korku;15k
overcapacity;aşırı kapasite;15k
oversubscribe;fazla abone olmak;15k
ovoid;oval;15k
oxymoron;oksimoron;15k
paella;paella;15k
paladin;şövalye;15k
palimpsest;palimpsest;15k
palmtop;avuç içi;15k
pannier;küçük çanta;15k
panzer;panzer;15k
paracetamol;parasetamol;15k
parallax;paralaks;15k
paralympic;paralimpik;15k
parenteral;parenteral;15k
parley;müzakere;15k
parotid;parotis;15k
parthenogenesis;partenogenez;15k
passe;eski;15k
pastrami;pastırma;15k
pawnbroker;rehinci;15k
pec;göğüs kası;15k
pedicure;pedikür;15k
peloponnesian;Peloponnesoslu;15k
penile;penis;15k
pentatonic;pentatonik;15k
perchance;şans eseri;15k
perihelion;günberi;15k
perineum;perine;15k
periscope;periskop;15k
peristalsis;peristaltizm;15k
pesky;sinir bozucu;15k
pfennig;fennik;15k
phenylalanine;fenilalanin;15k
phlegmatic;soğukkanlı;15k
photochemical;fotokimyasal;15k
phrenology;frenoloji;15k
physic;fizik;15k
physiognomy;fizyonomi;15k
piddle;oyalanmak;15k
pidgin;Pidgin;15k
pintail;kılkuyruk;15k
piste;pist;15k
piton;piton;15k
pizzeria;pizzacı;15k
plaint;şikâyet;15k
plantain;muz;15k
plenitude;bolluk;15k
pneumococcal;pnömokok kökenli;15k
pogo;pogo;15k
poi;poi;15k
polenta;polenta;15k
pollywog;Pollywog;15k
polycarbonate;polikarbonat;15k
polychlorinate;poliklorinat;15k
polychrome;çok renkli;15k
polygamous;çok eşli;15k
polymeric;polimerik;15k
pommel;kulplu;15k
pommy;pompon;15k
pompom;ponpon;15k
postpartum;doğum sonrası;15k
potentate;hükümdar;15k
poultice;lapa;15k
poundage;libre başına ücret;15k
prankster;şakacı;15k
precession;devinim;15k
prednisone;prednizon;15k
preternatural;doğaüstü;15k
priori;öncelikli;15k
proboscis;hortum;15k
procurator;vekil;15k
prolapse;sarkma;15k
prompter;suflör;15k
pronto;derhal;15k
propitiate;yatıştırmak;15k
protractor;iletki;15k
protuberant;çıkıntılı;15k
provo;kışkırtıcı;15k
provocateur;provokatör;15k
psychodynamic;psikodinamik;15k
ptolemaic;Ptolema dönemine ait;15k
pubescent;tüylü;15k
pulitzer;pulitzer;15k
punctilious;titiz;15k
purl;ters örgü;15k
pussycat;kedi;15k
putrefy;çürümek;15k
putsch;darbe;15k
quadriceps;kuadriseps;15k
quaff;iç;15k
quartermaster;malzeme sorumlusu;15k
quaternary;dördüncül;15k
quintessence;öz;15k
quotidian;gündelik;15k
raconteur;öykücü;15k
radiography;radyografi;15k
radiometer;radyometre;15k
radium;radyum;15k
ramekin;ramekin;15k
rapier;meç;15k
raring;azgın;15k
rastafarian;rastafarian;15k
reflexology;refleksoloji;15k
remiss;ihmal etmek;15k
rentier;rantçı;15k
repartee;hazırcevap;15k
repast;öğün;15k
residuum;kalıntı;15k
revenant;hortlak;15k
rheumatology;romatoloji;15k
rhinestone;yapay elmas;15k
rhinitis;rinit;15k
riparian;kıyıdaş;15k
roadie;yol arkadaşı;15k
rockabilly;rockabilly;15k
rockfish;kaya balığı;15k
rood;oda;15k
roundel;madalyon;15k
ruckus;gürültü;15k
rumpus;gürültü;15k
runnel;koşu yolu;15k
runt;kısa boylu;15k
saccharine;sakarin;15k
sacral;sakral;15k
sacristy;kutsallık;15k
sago;sagu;15k
sahib;sahip;15k
salvia;ada çayı;15k
sandbar;kum çubuğu;15k
sangria;Sangria;15k
sapper;kazmacı;15k
sarcoidosis;sarkoidoz;15k
sashay;sashay;15k
sauropod;sauropod;15k
scallion;yeşil soğan;15k
scarab;bok böceği;15k
scarp;yar;15k
sceptre;asa;15k
schmaltz;Schmaltz;15k
schmooze;gevezelik etmek;15k
schnapps;schnapps;15k
sciatic;siyatik;15k
sclerosing;sertleşen;15k
scrag;çizik;15k
scrimmage;hücum;15k
scrimp;karides;15k
scrumptious;şahane;15k
scupper;katletmek;15k
seamy;çirkin;15k
seaworthy;denize elverişli;15k
segue;tartışmak;15k
seigneur;senyör;15k
seines;gırgırlar;15k
seismology;sismoloji;15k
senescent;yaşlanmış;15k
sepoy;sepoy;15k
sequelae;sekeller;15k
serge;çavuş;15k
seropositive;seropozitif;15k
sexton;zangoç;15k
shad;tirsi balığı;15k
shekel;şekel;15k
shellac;şellak;15k
sherbet;şerbet;15k
sherpa;şerpa;15k
shew;göstermek;15k
shite;bok;15k
sibilant;ıslıklı ses;15k
sigmoid;sigmoid;15k
sigmoidoscopy;sigmoidoskopi;15k
signora;senyora;15k
signorina;Sinyorina;15k
simian;maymun;15k
simpleton;budala;15k
sinusitis;sinüzit;15k
sisal;sisal;15k
sith;sith;15k
situ;yerinde;15k
situationist;sitüasyonist;15k
skivvy;beceriksiz;15k
skylark;Tarla kuşu;15k
slake;sönmek;15k
slather;doğramak;15k
slipshod;baştan savma;15k
slipstream;akım akışı;15k
smarmy;yalaka;15k
smidgen;küçük;15k
smithereen;paramparça;15k
snitch;muhbir;15k
snook;nanik;15k
snowdrop;kardelen;15k
sobriquet;lakap;15k
sociobiology;sosyobiyoloji;15k
sociocultural;sosyokültürel;15k
sociodemography;sosyodemografi;15k
soliton;yalnızlık;15k
sombrero;fötr şapka;15k
somnolent;uykulu;15k
soothsayer;kahin;15k
sophist;sofist;15k
sorceress;büyücü;15k
sorority;kız öğrenci yurdu;15k
spasticity;spastisite;15k
speciate;belirtmek;15k
spect;bakış;15k
spectrograph;spektrograf;15k
speculum;spekulum;15k
spiff;kokuşmak;15k
splotch;leke;15k
spry;canlı;15k
squaw;Kızılderili;15k
stalagmite;dikit;15k
steerage;dümencilik;15k
stenographer;stenograf;15k
stetson;Stetson;15k
stevedore;yükleme görevlisi;15k
stickleback;dikenli sırt;15k
stigmata;damgalar;15k
stratigraphy;stratigrafi;15k
streetcar;tramvay;15k
streptococcus;streptokok;15k
streptomycin;streptomisin;15k
stroma;stroma;15k
sty;arpacık;15k
subscript;alt simge;15k
substratum;alt tabaka;15k
sucre;sucre;15k
suet;iç yağı;15k
sulphuric;sülfürik;15k
sumerian;Sümer;15k
superhighway;Süper otoyol;15k
suppurate;takviye etmek;15k
surfactant;yüzey aktif madde;15k
svelte;zarif;15k
sward;çimenlik;15k
swoosh;vızıltı;15k
synchronicity;eşzamanlılık;15k
synchrony;eşzamanlılık;15k
talkie;konuşkan;15k
tamarisk;ılgın;15k
tandoori;tandır;15k
tannery;tabakhane;15k
tautology;totoloji;15k
taverna;taverna;15k
teamster;taşıma görevlisi;15k
teepee;kızılderili çadırı;15k
tele;tele;15k
telecast;televizyon yayını;15k
teleconference;telekonferans;15k
teleprompter;akıl defteri;15k
teleworking;uzaktan çalışma;15k
temptress;baştan çıkarıcı;15k
tessera;tessera;15k
tetracycline;tetrasiklin;15k
therefrom;oradan;15k
thither;oraya;15k
thrombolytic;trombolitik;15k
thwack;vurmak;15k
tinfoil;alüminyum folyo;15k
tipple;sarhoş;15k
toadstool;zehirli mantar;15k
toady;dalkavuk;15k
toddy;toddy;15k
tomcat;erkek kedi;15k
topside;üst taraf;15k
tor;tor;15k
toupee;peruk;15k
toute;açık sözlü olmak;15k
toxoplasmosis;toksoplazmoz;15k
tractable;uysal;15k
trailblaze;öncü olmak;15k
transboundary;sınır ötesi;15k
transduce;dönüştürmek;15k
transpersonal;kişilerarası;15k
trapezius;yamuk;15k
trident;üç uçlu mızrak;15k
triennial;üç yıllık;15k
trilateral;üçlü;15k
tripper;tetikçi;15k
troika;üçlü;15k
trompe;kandırmaca;15k
troposphere;troposfer;15k
tubby;tombul;15k
tun;akort;15k
turkic;türk;15k
turnabout;dönüş kavşağı;15k
twee;iki;15k
tween;ara;15k
typhus;tifüs;15k
ultralight;ultra hafif;15k
umbrage;küsmek;15k
ungulate;toynaklı;15k
uni;üniversite;15k
unicameral;tek kamaralı;15k
unipolar;tek kutuplu;15k
upbraid;azarlamak;15k
uppity;kibir;15k
urethane;üretan;15k
valerian;kediotu;15k
valise;valiz;15k
valkyrie;valkyrie;15k
valorize;değer vermek;15k
vapid;yavan;15k
vegetate;bitki örtüsü;15k
velour;kadife;15k
verbiage;şişirme;15k
verbose;ayrıntılı;15k
verger;sınırlayıcı;15k
vermouth;vermut;15k
vertex;tepe noktası;15k
vetch;fiğ;15k
vicarage;papaz evi;15k
victuals;erzak;15k
vita;hayat;15k
viticulture;bağcılık;15k
vituperative;aşağılayıcı;15k
vor;vor;15k
vouchsafe;kefil;15k
vulgaris;bayağı;15k
wacko;kaçık;15k
wadi;vadi;15k
wagnerian;Wagner'li;15k
wain;yorgunluk;15k
wainscot;lambiri;15k
wangle;sallanmak;15k
weal;refah;15k
weberian;weberyen;15k
wehrmacht;Wehrmacht;15k
wetsuit;dalgıç giysisi;15k
whelk;deniz salyangozu;15k
whereof;bunun;15k
whist;ıslık;15k
whoopee;eyvah;15k
whosoever;kim olursa olsun;15k
wisecrack;espri;15k
wombat;vombat;15k
wonky;riskli;15k
woozy;sersem;15k
worsted;kamgarn;15k
wrasse;wrasse;15k
xerox;fotokopi;15k
xylophone;ksilofon;15k
yellowfin;sarı yüzgeçli;15k
yeti;yeti;15k
yodel;şarkı;15k
yogi;yogi;15k
zephyr;esinti;15k
zig;zig;15k
zillion;zilyon;15k
zircon;zirkon;15k
zloty;zloti;15k
zucchini;kabak;15k
zygote;zigot;15k
abalone;deniz kulağı;16k
abase;aşağılamak;16k
ablution;abdest;16k
abseil;halatla indirme;16k
acanthus;akantus;16k
accademia;akademi;16k
acidosis;asidoz;16k
adenoidectomy;geniz eti ameliyatı;16k
adenoma;adenom;16k
admixture;katkı;16k
affray;kavga;16k
africanized;Afrikalaştırılmış;16k
agate;akik;16k
agog;can atan;16k
agora;agora;16k
ague;sıtma;16k
airplay;radyo yayını;16k
albedo;albedo;16k
alimentary;beslenme;16k
aliquot;kısım;16k
allegro;allegro;16k
allograft;allograft;16k
alumina;alümina;16k
amal;amal;16k
amaryllis;nergis zambağı;16k
amenorrhoea;amenore;16k
amidships;geminin ortasında;16k
ammonite;ammonit;16k
anabaptist;anabaptist;16k
anaphor;anafor;16k
anaphylaxis;anafilaksi;16k
anastomosis;anastomoz;16k
angelfish;melek balığı;16k
angiogenic;anjiyojenik;16k
anglaise;ingilizce;16k
anglophile;İngiliz hayranı;16k
anhydride;anhidrit;16k
anklet;halhal;16k
annular;halka şeklinde;16k
anodyne;uyuşturucu;16k
antebellum;savaş öncesi;16k
anther;anter;16k
anthracite;antrasit;16k
anthropocentric;insan merkezli;16k
anthropometric;antropometrik;16k
anthropomorphise;insana benzetmek;16k
antimony;antimon;16k
antipasto;meze;16k
antipodes;antipodlar;16k
antral;antral;16k
apologia;özür;16k
apostolate;havarilik;16k
apposition;yerleştirme;16k
aquatint;deniz rengi;16k
arachidonic;araşidonik;16k
arcadia;arkadya;16k
argot;argot;16k
armageddon;kıyamet;16k
armoire;gardırop;16k
arrondissement;bölge;16k
articular;eklem;16k
arugula;roka;16k
ascorbic;askorbik;16k
ashram;aşram;16k
assize;değerlendirmek;16k
astigmatic;astigmatik;16k
astro;astro;16k
astrodome;Astrodom;16k
atrophic;atrofik;16k
aureole;hale;16k
autoclave;otoklav;16k
axillary;koltuk altı;16k
ayurvedic;ayurveda;16k
baccarat;bakara;16k
backgammon;tavla;16k
backpedal;geri adım atmak;16k
bacteriophage;bakteriyofaj;16k
bal;bal;16k
balsa;balsa;16k
barbel;bıyıklı;16k
barcode;barkod;16k
barmy;barmy;16k
basset;beşik;16k
batik;batik;16k
bazooka;bazuka;16k
bebop;bebop;16k
bedsit;yatak odası;16k
belabour;emek;16k
benefice;arpalık;16k
bergamot;bergamot;16k
berm;banket;16k
beryllium;berilyum;16k
besmirch;lekelemek;16k
betide;daha sonra;16k
betoken;belirtilmiş;16k
betwixt;arada;16k
bidet;bide;16k
bigamy;çok eşlilik;16k
bigmouth;koca ağızlı;16k
biocontrol;biyokontrol;16k
bioengineered;biyomühendislik ürünü;16k
bioethics;biyoetik;16k
biome;biyom;16k
biosolid;biyolojik katı;16k
biotech;biyoteknoloji;16k
biotin;biyotin;16k
biphenyl;bifenil;16k
bisque;bisküvi;16k
bitmap;bit eşlem;16k
blackball;kara top;16k
blam;suçlama;16k
blancs;beyazlar;16k
blather;saçmalık;16k
bluefin;mavi yüzgeçli;16k
bole;bole;16k
boll;koza;16k
bollard;baba;16k
bonjour;iyi eğlenceler;16k
boson;bozon;16k
botulism;botulizm;16k
bouffant;kabarık;16k
boyar;boyar;16k
brassica;Brassica;16k
breadfruit;ekmek meyvesi;16k
bridgehead;köprübaşı;16k
brioche;çörek;16k
briquette;briket;16k
bromine;brom;16k
bronchodilator;bronkodilatatör;16k
brouhaha;dostum;16k
brushwood;çalılık;16k
buckwheat;karabuğday;16k
buckyball;buckyball;16k
buf;devetüyü;16k
bulrush;saz;16k
bumpkin;hödük;16k
burgess;kasabalı;16k
bursary;burs;16k
butterfat;tereyağı;16k
butterscotch;karamela;16k
cabriolet;Cabriolet;16k
cacique;cacique;16k
cadge;çağrı;16k
caftan;kaftan;16k
cahoots;işbirliği;16k
calcareous;kalkerli;16k
calumny;iftira;16k
camber;kamber;16k
camembert;kamembert peyniri;16k
camphor;kafur;16k
camshaft;eksantrik mili;16k
canape;kanepe;16k
candor;açık sözlülük;16k
canker;pamukçuk;16k
canna;canna;16k
cantaloupe;kavun;16k
cantor;hazan;16k
capacitive;kapasitif;16k
capo;kapo;16k
cappella;a cappella;16k
capuchin;kapuçin;16k
carabinieri;jandarma;16k
cardio;kardiyo;16k
carpal;el bileği;16k
catalysis;kataliz;16k
catarrh;nezle;16k
catnip;kedi nanesi;16k
causa;neden;16k
cauterise;dağlamak;16k
cecum;çekum;16k
cenotaph;kenotaph;16k
centrepiece;en önemli parça;16k
centripetal;merkezcil;16k
cephalopod;kafadanbacaklı;16k
cerebrospinal;beyin omurilik;16k
cession;vazgeçme;16k
chanson;şanson;16k
chanterelle;Cantharellus cibarius;16k
chapati;chapati;16k
chatterbox;sohbet kutusu;16k
cheep;cıvıltı;16k
chelate;şelat;16k
chequered;damalı;16k
cheroot;puro;16k
chiaroscuro;ışık gölge;16k
chicanery;hile;16k
chignon;topuz;16k
chine;Çin;16k
chiral;kiral;16k
chitchat;gevezelik;16k
chloroplast;kloroplast;16k
chock;takoz;16k
chorizo;domuz sucuğu;16k
choses;seçer;16k
christological;kristolojik;16k
chromatin;kromatin;16k
cimetidine;simetidin;16k
circumpolar;kutup çevresi;16k
cisplatin;sisplatin;16k
civvy;uygarlık;16k
clade;sınıf;16k
clast;çatırtı;16k
clavicle;köprücük kemiği;16k
cline;çizgi;16k
clitoral;klitoral;16k
clomp;tokatlamak;16k
clop;alkış;16k
cockatoo;kakadu;16k
codicil;kanun hükmünde kararname;16k
cofactor;kofaktör;16k
colectomy;kolektomi;16k
coliform;koliform;16k
colloquy;konuşma;16k
collusive;gizli anlaşmaya dayalı;16k
colobus;Kolobus;16k
comfrey;karakafes;16k
commissariat;komiserlik;16k
concordant;uyumlu;16k
concordat;konkordato;16k
conga;konga;16k
conjuncture;konjonktür;16k
conspecific;türdeş;16k
contiguity;bitişiklik;16k
continuo;sürekli;16k
contradistinction;çelişki;16k
contusion;yaralanma;16k
coopt;ortaklaşa üye olmak;16k
copolymer;kopolimer;16k
copra;kopra;16k
corbel;konsol;16k
corgi;korgi;16k
corm;soğan;16k
cornet;kornet;16k
cortege;kortej;16k
cortisone;kortizon;16k
cosi;cosi;16k
cosine;kosinüs;16k
coterminous;bitişik;16k
cotta;kota;16k
cottonwood;kavak ağacı;16k
counterpane;karşı panel;16k
countersink;havşa;16k
courgette;kabak;16k
covalent;kovalent;16k
craw;sürünmek;16k
crawfish;kerevides;16k
creel;cağlık;16k
crenellate;mazgallarla donatmak;16k
crikey;kriket;16k
cubby;küçük;16k
cud;geviş getirmek;16k
cufflink;kol düğmesi;16k
curmudgeon;cimri tip;16k
cyanobacteria;siyanobakteriler;16k
cyclamen;siklamen;16k
cytochrome;sitokrom;16k
cytomegalovirus;sitomegalovirüs;16k
cytoplasmic;sitoplazmik;16k
debility;zayıflık;16k
decal;çıkartma;16k
decrepitude;yıpranma;16k
dehumanise;insanlıktan çıkarmak;16k
dehydrogenased;hidrojeni giderilmiş;16k
deictic;tasvir edici;16k
delist;listeden çıkarmak;16k
deltoid;deltoid;16k
demerits;kusurlar;16k
denationalize;vatandaşlıktan çıkarmak;16k
derailleur;vites değiştirici;16k
desperado;umutsuz;16k
determiner;belirleyici;16k
deviled;şeytani;16k
dexamethasone;deksametazon;16k
diamondback;elmas sırtlı;16k
diatonic;diyatonik;16k
dichotic;dikotik;16k
dieu;ölmek;16k
diorama;diyorama;16k
disaffiliate;bağlantısını kesmek;16k
dissimulate;taklit etmek;16k
dissolute;ahlaksız;16k
dit;aynen;16k
doggerel;saçma sapan;16k
dogleg;keskin bacak;16k
dolce;tatlı;16k
dolt;aptal;16k
doppelganger;kopya;16k
dovecote;güvercinlik;16k
dragnet;ağ;16k
drat;kahrolası;16k
drawdown;düşüm;16k
droit;saçmalık;16k
